Coluna 1,Transcription,Tag,Link,Platform,Views,Classificação
86,Toddy não é o toque de bebê é o Toddy da psiquiatria é o transtorno de oposição desafiante o transtorno opositivo desafiador e realmente é uma das coisas mais desafiadoras da psiquiatria porque tá dentro dos transtornos de controle de impulsos e condutas é a criança que tem três características básicas e é uma criança criança criancinha mesmo com cinco anos ela já tá apresentando todas essas características ela tem um humor facilmente irritável e raivosa é uma criança raivosa ela tá sempre questionando mas de uma forma extremamente desafiadora e ela tem uma índole Vingativa com aquele quezinho de maldade já desde criancinha já dá para perceber e isso causa impacto na vida escolar social e familiar dessa criança é um jeito de ser já na infância dá para perceber começa frequentemente mesmo quando a criança é bem jovem e às vezes na adolescência e a gente precisa entender que essas crianças elas crescem e elas viram adultos com transtorno positivo desafiante então elas são adultos que perdem a calma que são raivosos que são ressentidos que não para emprego que culpam os outros pelos próprios problemas que incomodam os outros de propósito e questionam agressivamente qualquer pedido então realmente é um transtorno,depressao,https://www.instagram.com/reel/C8LSD0gO5Iv/?igsh=MXVubzdwMGpuYm8zbw==,instagram,2628464,TOD
87,como ficar deprimido primeiro seja sedentário não faça exercícios e não treine segundo como porcaria tenha certeza que você só tá comendo comida processada cheio de açúcar e sem nutrientes e 20 frutas e comidas naturais terceiro fique todo o seu tempo na zona de conforto sem se desafiar e nem tomar risco fique dentro de casa usando as redes sociais sem se conectar com a natureza e nem ir para o sol Ah e passa bastante tempo consumindo conteúdo adulto brincando eu consigo mesmo e não tenha disciplina lembra de não ajudar as outras pessoas não sirva ninguém Isso só preenche a gente o caminho contrário da depressão Pense em tudo que só vai fazer Bem para você e não vai ajudar as outras pessoas e esse é o guia completo para ficar 100% deprimido seja artificial e tenha menos foco e mais ansiedade,depressao,https://www.instagram.com/reel/C8O6oHzuNS9/?igsh=eGdmY3lnd3dsZTBq,instagram,553648,OUTRA
93,depressão é foda né Eu tive um princípio foi foda era uma coisa fácil de lidar um negocinho você não sabe da onde vem né a terapia vem para te ajudar mesmo assim foi o que me ajudou mais mais do que remédio qualquer coisa mas é horrível o que é isso essa angústia de você não não conseguir entender da onde tá vindo aparentemente sempre parece que vem uma tristeza da onde você não sabe da onde que ela vai cair é horrível tá tudo tranquilo em volta e é isso que vai às vezes te deixando mais ansioso que você vai perdendo a sua vida para ficar você não consegue sair disso,depressao,https://www.instagram.com/reel/C8E2hVeONhc/?igsh=MTE4cG90N3J6czY5cg==,instagram,1395606,REPETIDO
94,a mãe encheu a banheira de água e afogou todos os seus cinco filhos um a um deixando noa de 7 anos por último após afogá-los colocou os corpos da cama do casal deixando a mais nova Mary nos braços de John pois acreditava que assim ele iria proteger a irmã mais nova na vida pós morte em sequência Andreia ligou para polícia e pediu que alguém fosse até a sua casa ligando também para o roxo e pedindo que ele retornasse com a chegada da polícia ao ser questionado sobre o que aconteceu Andreia afirmou eu matei meus filhos ela acreditava que assumindo tudo de uma vez seria presa e condenada à morte,depressao,https://www.instagram.com/reel/C7hrzwUv-cp/?igsh=am14aDV6YmF1NWN3,instagram,734063,NÃO INCLUSO
95,Porque existe uma relação muito próxima entre a saúde mental e a canalhice Roni a gente pode ter ansiedade depressão tristeza toque todas as questões e todos temos algumas em algum grau a nossa sociedade é uma sociedade muito doente agora eu ter uma depressão daí eu vou me tornar alcoólatra daí eu trago minha esposa porque eu estou na crise da meia idade Esses são escolhas que revelam a minha canal Alice porque se eu toco vazio vou me tratar eu não vou abusar do outro eu não vou bater no outro eu não vou machucar o outro eu não vou me viciar e viver é um problema para o outro e isso é muito sério se a gente não se trata Rony a gente se torna uma bomba relógio na mão de filho na mão de pai na mão da família e quando eu falo canalista É sim um desvio moral muito sério,depressao,https://www.instagram.com/reel/C8eOhQCBgAO/?igsh=cWlrMTMwazRkODhw,instagram,941155,OUTRA
97,Oi o meu nome é Michel Mansur e você sabia que pessoas com TDH elas podem ter problemas sensoriais é muito comum a gente ligar problema sensorial por exemplo problema com barulho com determinados toques com pessoas com autismo mas as pessoas com TDAH também podem ter esses problemas no caso do barulho algumas pessoas com TDAH podem ter problemas com barulhos repetitivos ou específicos por exemplo barulho de pessoa mastigando já outras pessoas com TDH elas podem ter problemas com volume do barulho então às vezes elas podem ter uma sensibilidade sonora maior do que outras pessoas então para uma pessoa parece que a TV ou som ou a música tá não tá no volume Ok mas para pessoa quando TDH aquilo pode ser bem agressivo e Em ambos os casos esses barulhos sejam repetitivos ou seja um barulho muito alto ele faz com que a pessoa que o tbh às vezes ela se desespere aquilo ali causa um incômodo muito grande ela pode ter comportamentos impulsivos ela pode ficar grosseira sabe ela pode realmente ficar Incomodada com aquilo a ponto daquilo ali atrapalhar o convívio social dela naquele momento ao mesmo fazer com que ela não consiga pensar direito nas coisas,depressao,https://www.instagram.com/reel/C7Rsus-sdao/?igsh=MXR1c3Fyb3AycWdreA==,instagram,238930,TDAH
98,comentando comentário engraçadinho de ontem como a doutora Rita se define foi o comentário de um dos tripulantes do bote ao que eu respondi chiquíssimo eu me defino chiquíssimo eu só saio de casa linda maravilhosa para me agradar e porque eu acho que os meus pacientes merecem o melhor outra coisa que eu me defino se esforçar porque quem não nasceu em berço de ouro tem que ralar mesmo sabe outra coisa realizado Porque tudo que eu conquistei foi na base de muito esforço tem sorte de sorte mas impressionante como quanto mais eu trabalhava mais sorte eu dava sabe outra coisa que eu sou a sétima sabe o que que é a Cherry magalhão eu descobri hoje procurando do dicionário para fazer esse post persistente insistente a pessoa que não desiste Então é assim que eu me defino Chiquititas e a sétima beijo gente tchau tchau,depressao,https://www.instagram.com/reel/C-VTGm_uhDs/?igsh=MWd4N3FoOGlibHluaQ==,instagram,379135,NÃO INCLUSO
2,sinais de depressão silenciosa Lembrando que eu sou psicóloga e trabalho pela terapia cognitivo comportamental primeira coisa uma sensação de tanto faz estar aqui não é que eu quero me matar é só só que eu não quero mais acordar que eu não vejo mais sentido em estar aqui que tanto faz se eu tô viva ou não esse é um dos sintomas possíveis junto com uma desesperança outra sensação é de não tô normal a vida fica sem graça as coisas ficam pesadas você se sente muito mais cansada e muito mais irritada coisas que não tirava sua paciência hoje em dia é motivo para você explodir e você ver que você não é assim e isso porque o cérebro de uma pessoa com depressão de fato tem alterações químicas Então você tem um desequilíbrio de certos neurotransmissores que fazem com que você não consiga funcionar no seu estado normal outra coisa é a sensação interna de vazio tristeza Então pode até ser que você trabalhe que você saia de casa e socialize mas internamente você continua com aquela sensação de tudo isso é muito pesado de você ter que fingir que está tudo bem porque internamente você tá quebrada você tá com uma tristeza um vazio que não tem fim e que não muda mesmo que você faça as coisas antes você gostava até porque um dos sintomas é anedonia que é aquela incapacidade de você sentir prazer e aí fica uma merda porque as coisas que você gostava de fazer não te gera mais prazer aí você começa também a se isolar não marca de sair quando você marca você marca não responde mensagem explicação você não quer ver mais ninguém na sua frente porque você se acha um peso ou porque você já tá lidando com muita coisa na sua vida pessoal para ter que ouvir outras pessoas e comportamentos alterados alterações então no sono na alimentação no seu peso na ingestão de álcool no uso de celular e tudo isso para tentar fugir um pouco da Sensações que tudo isso é muito grande ou então é um vazio tão grande que você busca sentir alguma coisa que seja e comenta aqui se você sente algum desses sintomas não deixa de buscar ajuda psicólogo e psiquiatra Compartilhar esse vídeo porque a gente precisa falar sobre isso,depressao,https://vm.tiktok.com/ZMSY7ryQM/,TIK TOK,168.000,ÚTIL
4,se você sofre de depressão ou ansiedade vai passar por uma perícia no INSS esse vídeo é para você olá me chamo Luana Maestro advogada especialista em Direito Previdenciário aqui no meu perfil compartilho com vocês várias dicas sobre aposentadoria sobre o INSS principalmente sobre as perícias no INSS para quem vai solicitar auxílio-doença ou aposentadoria por invalidez eu já dei várias dicas aqui de situações que os peritos fazem propositalmente durante a perícia para testar o segurado como por exemplo uma caneta que vai cair no chão um documento seu que o perito derruba um banquinho no meio do caminho já tem vídeo sobre tudo isso aqui no perfil e essas dicas elas valem para todas as pessoas tá Vocês precisam entender que desde o momento que vocês entram na agência do INSS vocês estão sendo avaliados então a sua perícia começa muito antes de você entrar na sala do perito na ante-sala o perito já vai estar avaliando Como você está se comportando normalmente o que que os peritos avaliam nessas perícias para quem está passando por depressão e ansiedade eles vão avaliar se você está maquiada eles vão avaliar se você está usando acessórios brinco colar relógio pulseira cinto eles vão avaliar se a sua unha está feita essa sonha estar pintada se você tem alongamento ou não eles vão avaliar se você tem extensão de cílios eles vão avaliar se a sua sobrancelha está bem feita está definida por que que é feita essa avaliação porque na cabeça dos peritos quem tem depressão quem tem ansiedade não vai ter condições de fazer uma unha desse maquiado estar bem vestida então presta muita atenção nesses detalhes eu não tô falando que é para você isso então toma banho que é para você ir suja que é para você com roupa rasgada não nada disso tá você deve normalmente não simular nada só tomar cuidado com esses detalhes não vai maquiada não usa muito acessório vai com uma roupa confortável e cuidado com a forma com que você vai se importar desde o momento que você entra na agência do INSS,depressao,https://vm.tiktok.com/ZMSY7fjXM/,TIK TOK,29.000,OUTRA
8,Boa tarde eu sou o Arauto da depressão Agora você tem suas missões Você acaba de adquirir depressão problema isso foi só amigo com depressão que te passou a depressão Agora você tem depressão eu sou a data da depressão agora eu vou te passar missões Ou você tem coisas para fazer na hora que você é da depressão agora,depressao,https://vm.tiktok.com/ZMSY7y7bM/,TIK TOK,25.000,OUTRA
16,ansiedade depressão Pânico bicho essa coisa puxa a outra cores físicas começam e Ninguém te entende compulsão aparece comida compra jogos qualquer coisa que te dê alívio imediato é se isola e o único lugar que parece seguro um quarto escuro essa remédio atrás de remédio para anestesiar uma dor que não é só do corpo ela fere a alma Eu sei como é eu passei por isso é tá uma dor horrível na cervical viciada em remédio presa num ciclo que não tinha fim até que um dia chamei a depressão para briga Minha última tentativa de vencer Esporte me fez querer viver de novo não sei Mania fazendo isso aqui sem desistir de você você vai encontrar o ônibus você perdeu há muito tempo para lá naquele quarto escuro você vai deixar ele lá sozinho e vai sair para briga contra outra pessoa difícil começar por isso também mas o ânimo Ele não vai vir ao nosso encontro a gente tem que sair do quarto e encontrar com ele posso fazer isso aqui não todo dia porque a depressão ela bate no nosso ponto fraco e ela fica doida que a gente caia de novo para você aproveitar mas todos os dias que eu calço meu tênis e vou correr ela morre de medo você também tá preso nesse ciclo vicioso sangue,depressao,https://vm.tiktok.com/ZMSY7t754/,TIK TOK,34.000,EXPERIÊNCIA PESSOAL
18,eu dei depressão psicótica que é aquela que desenvolve de você escutar e você vê então eu vi as coisas eu tinha Alucinação Alucinação eu tinha Alucinação conversando com você como se fosse você aqui uma voz aqui conversava que a mente né E aí eu fui falar falava Olha eu vou trabalhar e tem uma voz que fala para mim filha debaixo de uma carreta que fala para mim bater no poste que fala para isso fala que eu não sou ninguém fala que eu sou assim então eu fico escutando essa voz o tempo inteiro isso também matando e eu tenho vontade de eu não tenho mais vontade de viver e aí o doutor já chegou já falou olha o seu caso tá muito sério e aí eu fui onde que ele foi e começou a investigar a minha vida para trás porque eles precisam de investigar foi hoje que eu contei que em 2015 eu passei mal e eu dei problema cardíaco e ele falou você não tem problema cardíaco você tem crise de ansiedade ela é muito brava você em 2015 eu desmaiava você tinha entortava e tipo assim eu não sei explicar não sei se eu vou falar certo mas eu era perigoso super desenvolver Olha você já tá desenvolvendo a escrita feliz então eu preciso de entrar com as medicação,depressao,https://vm.tiktok.com/ZMSY7tb3E/,TIK TOK,111.000,EXPERIÊNCIA PESSOAL
